,job,company,location,salary,description
28451,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28452,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28453,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28454,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28455,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28456,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28457,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28458,Data Scientist,    xometry,"Durham, NC",,
28459,Data Scientist,        Novetta,"Crystal City, VA",,
28460,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28461,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28462,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28463,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28464,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28465,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28466,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28467,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28468,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28469,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28470,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28471,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28472,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28473,Data Scientist,    xometry,"Durham, NC",,
28474,Data Scientist,        Novetta,"Crystal City, VA",,
28475,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28476,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28477,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28478,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28479,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28480,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28481,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28482,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28483,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28484,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28485,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28486,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28487,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28488,Data Scientist,    xometry,"Durham, NC",,
28489,Data Scientist,        Novetta,"Crystal City, VA",,
28490,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28491,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28492,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28493,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28494,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28495,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28496,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28497,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28498,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28499,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28500,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28501,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28502,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28503,Data Scientist,    xometry,"Durham, NC",,
28504,Data Scientist,        Novetta,"Crystal City, VA",,
28505,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28506,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28507,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28508,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
