,job,company,location,salary,description
0,Data Scientist,        Novetta,"Crystal City, VA",,
1,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
2,Data Scientist,    xometry,"Durham, NC",,
3,Data Science Professional,        Freddie Mac,"McLean, VA 22102",,"Visualize data to communicate complex ideas. Use techniques from statistics, machine learning, and other data sciences to estimate predictive models from..."
4,"Scientist, Biomedical Informatics – Molecular Oncology","    GeneDx, Inc","Elmwood Park, NJ",,"Reviewing patient medical history, performing review of genomic data and helping maintain the active knowledgebase for variant interpretation...."
5,Data Subject Matter Expert,"    Aveshka, Inc.","Washington, DC",,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
6,Data Scientist (USC or GC) (REMOTE),    Agile,"Melbourne, FL",,"In collecting, cleansing and converting data, data mining, data mapping, data integrity:. Experienced in collecting, cleansing and converting data, data mining,..."
7,Operations Research Analyst / Statistician Intern,        Mitre Corporation,"McLean, VA",,"MITRE is currently seeking an entry level Operations Research Analyst, Statistician, or Data Scientist to join our Operations Research department in Bedford, MA..."
8,Postdoctoral Researcher in Machine Learning and Computer Vision,        Georgia Institute of Technology,"Atlanta, GA",,"A postdoc position at the intersection of Machine Learning, Computer Vision and Human-Computer Interaction is available with the group of Christopher Rozell"
9,Data Scientist / Digital Analyst,        NPR,"Washington, DC",,"The Data Scientist / Digital Analyst works under the direct supervision of Senior Director, Audience Insights...."
10,Junior Data Scientist,    BitVoyant,"Rosslyn, VA",,"Junior Data Scientist. As a Data Scientist (Big Data), you will apply cutting-edge statistical and mathematical methods to the collection, correlation and..."
11,Data Subject Matter Expert,    Axiologic Solutions,"Washington, DC",,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
12,fMRI Data Analysis,    Aphasia Research Laboratory - Boston University,"Boston, MA 02215 (Fenway-Kenmore area)",,"Responsibilities also include participant recruitment, coordinating the research study & data management...."
13,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
14,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
15,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
16,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
17,Data Scientist,    xometry,"Durham, NC",,
18,"Data Engineer, SocialVR",        Facebook,"Menlo Park, CA",,The Data Scientist Analytics role has work across the following four areas:. Building key data sets to empower operational and exploratory analysis....
19,MT / NLP / Data Analytics Technologist,    SDL Government,"Herndon, VA",,"We seek a scientist who will lead the development of new and creative concepts that integrate MT more effectively, across a diverse set of network and cloud..."
20,Data Scientists,    Grandata,United States,,Grandata is looking for great Data Scientists to develop machine learning algorithms over very large graphs. Handling and visualisation of large data sets....
21,Data Scientist,    NxT Level,"Seattle, WA","$125,000 - $160,000 a year","We are looking for a passionate Data Scientists that are looking to deep dive into a Seattle, WA company that's growing exponentially...."
22,Data Science Evangelist,    DataRobot,"Washington, DC",,"You will lead DataRobot University courses for executives, business analysts, and data scientists to help DataRobot users be wildly successful...."
23,Planing Assistant/Data Analysis.,        Four Seasons Design,"San Diego, CA 92154",,Planning assistant / Data Analysis. Retail Manufacturing experience a MAJOR Plus....
24,Jr. Data Scientist,        Comverge Inc,"Denver, CO",,Data Scientist will produce innovative solutions drivenby exploratory data analysis from complex and high-dimensional datasets....
25,Data Research Analyst - Office of Chief Nurse Executive,        Northwell Health,"New Hyde Park, NY 11040",,Trains staff on data capture and data entry. Analyzes and trends data. Extracts patient clinical data from medical records or other sources containing patient...
26,Entry Level- Data Scientist,    H3 Technologies,"Florence, KY 41042",,Entry level Data Scientist. We are looking for an entry level Data Scientist. We can provide project support to the Data Scientist who recently completed...
27,Data Visualization Research Specialist,    Northeastern University - Network Science Institut...,"Boston, MA","$50,000 a year","The lab of Professor Albert-László Barabási, together with the Network Science Institute at Northeastern University and the Division of Network Medicine at..."
28,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
29,Data Scientist,        Novetta,"Crystal City, VA",,
30,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
31,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
32,Data Scientist,    xometry,"Durham, NC",,
33,Entry Level- Data Scientist,    H3 Technologies,"Florence, KY 41042",,Entry level Data Scientist. We are looking for an entry level Data Scientist. We can provide project support to the Data Scientist who recently completed...
34,Digital Data Scientist Analyst/ Associate,        AlixPartners,United States,,Digital Predictive Modeling Data Scientist Analyst/Associate. Handle missing data through an algorithmic approach such as multiple imputation to enable insights...
35,Intern - Machine Learning for Network Reliability,        Huawei,"Santa Clara, CA",,"This position will focus on data mining in the current network product database, including data extraction, linking, clustering, and inference...."
36,Machine Learning - R&D TS Clearance,    Barone Consulting,"Arlington, VA",,Apply deep technical knowledge of machine learning techniques and applications to serve as a strategic consultant for government clients leading research and
37,Cleared Jr. Data Scientist,"    RedJack, LLC","Silver Spring, MD 20910",,"Data Scientist to analyze and implement analytic tools and techniques for our clients using large ( > 1 TB/day) volumes of data from multiple sources, including..."
38,Data Scientist / Analyst,        Booz Allen Hamilton,"Washington, DC",,"Experience with using R, Perl, Python, SAS, or SPSS for analysis of data. Experience with machine learning, data mining, statistics, or graph algorithms in an..."
39,Data Scientist / BI Analyst,        Infusionsoft,"Chandler, AZ",,"Utilizes an advanced understanding of multiple complicated data structures and sources that lead the design, development and implementation of decision support..."
40,Data Analyst/Scientist IV - (B4),        Applied Materials Inc.,"Santa Clara, CA",,Interacts with product and service teams to identify questions and issues for data analysis and experiments;...
41,Data Scientist,    Keyo,"Palo Alto, CA","$120,000 - $200,000 a year","We’re looking for talented junior and senior data scientists to join our diverse and fast-growing data team. As a data scientist, you’ll build and implement the..."
42,Employee Payables Data Analysis Specialist,        Booz Allen Hamilton,"Herndon, VA",,Employee Payables Data Analysis Specialist. Serve as a part of an internal team and perform data analysis of account payables....
43,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
44,Data Scientist,        Novetta,"Crystal City, VA",,
45,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
46,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
47,Data Scientist,    xometry,"Durham, NC",,
48,Data Analyst/Scientist IV - (B4),        Applied Materials Inc.,"Santa Clara, CA",,Interacts with product and service teams to identify questions and issues for data analysis and experiments;...
49,Statistical Regression Analyst,        Technology Service Corporation,"Arlington, VA 22202 (Aurora Highlands area)",,"Government, contractor, and documented data reserves to generate tailored information. Ability to search government and commercial sources of data focused on..."
50,Data Scientist / BI Analyst,        Infusionsoft,"Chandler, AZ",,"Utilizes an advanced understanding of multiple complicated data structures and sources that lead the design, development and implementation of decision support..."
51,Lead Data Analyst,    Plus3 IT Systems,"Washington, DC",,"Minimum 5 years’ experience working on complex data/database projects as a data analyst, data architect, data scientist or database engineer...."
52,Data Scientist,        Central Intelligence Agency,"Washington, DC","$62,338 - $119,794 a year","Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments...."
53,Data Scientist,"    Computer Enterprises, Inc. (CEI)","Philadelphia, PA","$160,000 a year","Excel, SQL, SAS, R, and Tableau) through determination of appropriate analytic approach (sample data analysis, trending, regression, etc.)...."
54,Statistician - Administration,        George Washington Medical Faculty Associates,"Washington, DC",,"Perform statistical data analyses. Validate the accuracy, consistency and integrity of the statistical output generated during data analysis of study data...."
55,Machine Learning/Deep Learning Engineer,        SKIP,"New York, NY",,This position is responsible for implementing and collaborating on many of our research initiatives to apply ML/DL techniques for retail applications.
56,Research Analyst,    Streetsense,"Bethesda, MD",,"Data-driven design is a philosophy the Research & Analysis studio lives by, and we are looking for a new team member to help shape research methodologies and..."
57,Advisory Manager – Cybersecurity – Analytics – Data Scientist,        EY,United States,,"We are seeking a Data Scientist to join our Cybersecurity practice. Data Modeling experience. Experience developing analytics for large data settings, and..."
58,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
59,Data Scientist,        Novetta,"Crystal City, VA",,
60,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
61,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
62,Data Scientist,    xometry,"Durham, NC",,
63,Data Governance Lead,    Salient CRGT,"Arlington, VA",,Salient CRGT is seeking to hire a Data Governance Data Analyst to join our Federal Civilian division. Provide expert data governance strategy guidance to...
64,Part Time Data Science Instructor,        General Assembly,"Washington, DC",,"Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of..."
65,Data Scientist / Operations Research Analyst,        Booz Allen Hamilton,"Annapolis Junction, MD",,Data Scientist/Operations Research Analyst. Apply expertise with and knowledge of analytics while working alongside industry–leading Cloud computing...
66,Analytic Scientist II,        FICO,"San Diego, CA",,Analytic Scientist II. Assist with client meetings to investigate and resolve production data problems. Assist with model go-lives by performing production data...
67,Statistician,        Karna LLC,"Rockville, MD",,"Create costume data files for approved proposals using restricted data from the RDC data portfolio. Statistician, SAS, statistical analysis, SUDAAN, STATA, data..."
68,SAS Statistician/Research Analyst,"    Associated Veterans, LLC","Washington, DC 20210 (Capitol Hill area)",,Develop and implement data normalization techniques. Conduct statistical analysis of contracts and employer data....
69,Machine Learning Engineer #priority,        Blueprint Consulting Services,"Bellevue, WA",,"As a Machine Learning Engineer, you will be part of a core team designing and building an enterprise grade big data processing platform, design and build proof..."
70,"Research Scientist, Machine Learning",    Human Longevity,"Mountain View, CA",,"These researchers play a key role in the creation, optimization, and implementation of new methods and processes for the analysis of genotypic and phenotypic..."
71,Data Science Manager,"        The TJX Companies, Inc.","Fort Collins, CO",,"This position will be responsible for managing a team of motivated and talented Data Scientists, Statisticians and Data Analysts. Data Science Manager...."
72,Research Scientist,        Child Trends,"Bethesda, MD 20814",,"Experience with primary data collection and data management. Knowledgeable about data security. It requires the ability to design a research approach, guide..."
73,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
74,Data Scientist,        Novetta,"Crystal City, VA",,
75,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
76,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
77,Data Scientist,    xometry,"Durham, NC",,
78,Associate Data Scientist,    Weather Analytics,"Dover, NH",,"Data gathering, data cleansing, data processing. Weather Analytics is seeking an Associate Data Scientist to assist the Data Science team in innovative data..."
79,Statistical Analyst,    MbSolutions Inc,"Arlington, VA","$80,000 a year",The Contractor shall develop data collection processes/procedures and formats for information for utilization by the Government....
80,Junior Data Scientist,        Mitre Corporation,"McLean, VA",,"Be passionate about applying data analytics to real world problems. The Model-Based Analytics Department is seeking a motivated, creative Data Scientist to..."
81,Machine Learning & Computer Vision Scientist,        USC,"Arlington, VA",,"ISI scientists have the opportunity to spend the majority of their time doing the research they love. The Information Sciences Institute (ISI), part of the..."
82,GEOINT Analyst (Data Science) **Pay Band 02/03,        National Geospatial-Intelligence Agency,"Springfield, VA",,"Conduct data mining and retrieval on large volumes of data. The candidate will leverage contemporary data analytic software and approaches to discover, prepare,..."
83,Data Science/EngineerDrones,        Intel,"Santa Clara, CA 95052",,"Plotly and other data visualization tools. Yocto, Linux, Google Analytics, Big Data, Hadoop, Spark, Tableau or other business intelligence tools Inside this..."
84,Sr. Data Analyst – Financial Planning and Analysis,        Minnesota Eye Consultants,"Bloomington, MN",,SENIOR DATA ANALYST - FINANCIAL PLANNING AND ANALYSIS. Work closely with Operations and IT team to ensure data accuracy for the dashboard metrics....
85,Data Scientist Intern,"        Copart, Inc","Dallas, TX 75254 (Far North area)",,"This individual will be a member of the Data Science team, working closely with the IT teams on the conception, design, development, testing, and deployment of..."
86,Machine Learning Specialist,        IMS Health,"Plymouth Meeting, PA",,"Experience using big data technology. Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry...."
87,Data Scientist,        Oliver James Associates,"New York, NY","$160,000 a year",Data Science / Analytics:. If you are a Data Scientist with extensive Machine Learning experience then get in touch with me for a confidential career discussion...
88,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
89,Data Scientist,        Novetta,"Crystal City, VA",,
90,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
91,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
92,Data Scientist,    xometry,"Durham, NC",,
93,Market Research/Data Analyst,        RJT Compuquest,"Glendale, CA",,"Position:  Market Research/Data Analyst Employment Type:  3-6 Month Contract Location:  Glendale, CA Skills Required:  * 1-2 years of"
94,Software Engineer - Machine Learning,    NxT Level,"Seattle, WA","$100,000 - $135,000 a year",Practical experience in using statistics in analyzing and processing data. You’ll join a top-notch technology team that is dedicated to solving some of the...
95,Associate Data Scientist,        IMM,"Boulder, CO 80302",,Are you data curious? Generate clear and concise data visualizations. Craft stories based on data that intertwine all facets of the client?s and IMM?s business...
96,Data Scientist,        Darwin Recruitment,"Boston, MA","$100,000 - $140,000 a year","Data Scientist - Machine Learning - NLP - Python - R - Bayesian Statistics - Frequentist - Boston. Our client, a market leading online advertising business, are..."
97,Sr. Data Scientist - Forecasting,        Honeywell,"Phoenix, AZ",,"Senior Data Scientist - Forecasting. As a Senior Data Scientist – Forecasting in the Analytics Center of Excellence team, you will:...."
98,3M HIS Data Science Applied Research Internship (Multiple Locations),        3M,"Maplewood, MN",,Research and develop clinical data models to enhance 3M’s clinical data analytics platform. What it’s like to work in the Data Science Lab:....
99,Research Scientist,"    ObjectVideo, Inc.","Tysons, VA",,"Research Scientist Contribute to exciting and high visibility projects that will push the state-of-the-art in image/video understanding, data mining and..."
100,Data Science Analyst,        AIG,"New York, NY",,"We are looking for talented, curious, and creative Data Scientists to join our growing team. Data Science is fundamentally changing the way we do business...."
101,Scientist,        The Henry M. Jackson Foundation,"Bethesda, MD 20814",,Develop prototype software and evaluate performance on data and prepare software for semiautomatic data analysis....
102,Quantitative Analyst Intern,        Mitre Corporation,"McLean, VA",,This is a summer internship position. The role will be to work alongside J81C Cost & Business Analytics technical staff to learn about the application of
103,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
104,Data Scientist,        Novetta,"Crystal City, VA",,
105,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
106,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
107,Data Scientist,    xometry,"Durham, NC",,
108,Part Time Data Science Instructor,        General Assembly,"Washington, DC",,"Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of..."
109,Machine Learning Engineer,        IBM,"Denver, CO 80237 (Southeastern Denver area)",,"Foundation in core Computer Science (CS) competencies including data structures, algorithms and object oriented design...."
110,"Scientist, Informatics II",        AbbVie,"Worcester, MA",,Informatics Scientist II Job Description. Working experience in SQL databases and querying other remote data sources....
111,SAS Statistician/Research Analyst,"    Associated Veterans, LLC","Washington, DC 20210 (Capitol Hill area)",,Develop and implement data normalization techniques. Conduct statistical analysis of contracts and employer data....
112,Research Data Analyst,        University of California San Francisco,"San Francisco, CA",,"The Research Data Analyst will be asked to contribute to study design from a methodological standpoint, take responsibility for database creation, data..."
113,Machine Learning & Computer Vision Scientist,        USC,"Arlington, VA",,"ISI scientists have the opportunity to spend the majority of their time doing the research they love. The Information Sciences Institute (ISI), part of the..."
114,Quantitative Analyst Intern,        Mitre Corporation,"McLean, VA",,This is a summer internship position. The role will be to work alongside J81C Cost & Business Analytics technical staff to learn about the application of
115,Data Scientist,    Platinum Solutions,"Houston, TX","$80,000 - $120,000 a year","Works with multi-functional teams focused on enterprise data, data quality, business intelligence, operational data and enterprise resource planning integration..."
116,Research Scientist,"    ObjectVideo, Inc.","Tysons, VA",,"Research Scientist Contribute to exciting and high visibility projects that will push the state-of-the-art in image/video understanding, data mining and..."
117,"Chief, Cancer Data Science Laboratory",    Center for Cancer Research,"Bethesda, MD",,The National Cancer Institute (NCI) is seeking a visionary scientist in cancer computational biology and data science to establish and lead the new Cancer Data...
118,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
119,Data Scientist,        Novetta,"Crystal City, VA",,
120,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
121,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
122,Data Scientist,    xometry,"Durham, NC",,
123,Machine Learning Engineer,        CTI Consulting,"Miami, FL","$120,000 a year","Data mining experience. Experience applying machine learning techniques to noisy, uncertain and/or dynamic data sets...."
124,Machine Learning Engineer,        IBM,"Denver, CO 80237 (Southeastern Denver area)",,"Foundation in core Computer Science (CS) competencies including data structures, algorithms and object oriented design...."
125,Associate,        Exponent,"Phoenix, AZ 85027",,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve..."
126,"Scientist, Informatics II",        AbbVie,"Worcester, MA",,Informatics Scientist II Job Description. Working experience in SQL databases and querying other remote data sources....
127,Machine Learning Engineer,    Toyota Research Institute,"Ann Arbor, MI",,You work alongside top research scientists in machine learning and are responsible for deploying cutting-edge machine learning techniques across truly vast...
128,Research Assistant,    New England Research Institutes,Massachusetts,,"Contribute to day-to-day research operations, including conducting data management and subject management activities, with an emphasis on mixed methods research..."
129,Data Scientist,    Platinum Solutions,"Houston, TX","$80,000 - $120,000 a year","Works with multi-functional teams focused on enterprise data, data quality, business intelligence, operational data and enterprise resource planning integration..."
130,"Intern, Machine Learning",    Human Longevity,"Mountain View, CA",,"Human Longevity, Inc. is looking for a summer intern to work with our Oncology team based in our San Diego, CA location. This intern will assist with a"
131,Azure Supportability - Machine Learning Data Technicians/Analysts,"    netLogic Solutions,Inc","Redmond, WA",,"Azure Supportability - Machine Learning Data Technicians/Analysts*. Currently, one of our well branded clients is seeking for an Azure Supportability - Machine..."
132,Senior Machine Learning Scientist,    TuSimple LLC,"San Diego, CA",,We’re looking for smart and entrepreneurial people to join the world’s leading scientists and researchers team....
133,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
134,Data Scientist,        Novetta,"Crystal City, VA",,
135,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
136,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
137,Data Scientist,    xometry,"Durham, NC",,
138,Data SME,        MetroStar Systems,"Reston, VA",,"Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists,..."
139,SDE-Machine Learning,        Posh Technologies,"Redmond, WA",,"The person should at least have experience with Machine Learning on Image Data, preferably with CNTK, but TensorFlow or Caffe is okay too...."
140,Machine Learning,        Twitter,"San Francisco, CA 94103 (South Of Market area)",,Experience using big data platforms such as Spark or Hadoop. What You’ll Do:....
141,Scientist I,        Chesapeake Energy,"Oklahoma City, OK 73118",,Presents analytical data to other groups and labs. Knowledge of specific software applications necessary to run analytical equipment and process data....
142,Data Analyst,        Booz Allen Hamilton,"Springfield, VA",,3+ years of experience as a data analyst or data scientist. Knowledge of statistical methods and standard data mining techniques....
143,Senior Data Scientist,        Civitas Learning,"Austin, TX 78703",,"You might think senior data scientists build magical mathematical models that predict the future and while that might be partially true, at Civitas Learning the..."
144,Analytic Science Lead Scientist,        FICO,"San Diego, CA",,"Analytic Science Lead Scientist. FICO has an opportunity for an Analytic Science Lead Scientist at our facility in San Diego, California...."
145,BUSINESS ANALYSIS MANAGER - Data Science / Analytics,        Cisco Systems,"San Jose, CA",,"People, processes, data, and things. The Business Analysis Manager - Data Science / Analytics role will be responsible for managing a global team focused on..."
146,Polling and Research Analyst,        Atlantic Media,"Washington, DC 20037 (Foggy Bottom area)",,"Perform quality control checks at all phases of research, including fieldwork, data processing, and reporting...."
147,Data Analytics Developer,        Noblis,"Reston, VA",,"Support the design and implementation of data integration across data analytics infrastructures. As part of the design and implementation effort, the data..."
148,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
149,Data Scientist,        Novetta,"Crystal City, VA",,
150,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
151,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
152,Data Scientist,    xometry,"Durham, NC",,
153,Senior Data Scientist,        Cogent Infotech,"Seattle, WA",,"As a Data Scientist, you will help us unlock insights from an enormous trove of consumer, commerce, and logistics datasets...."
154,Applied Statistical Learning Scientist,"    Spectral MD, Inc.","Dallas, TX",,Stratification of study data based on clinical variables; Analyze clinical study data to identify factors that influence diagnostic device effectiveness....
155,Program Scientist,        The Henry M. Jackson Foundation,"Silver Spring, MD 20910",,Coordinate the gathering and assembly of data related to specific projects and perform detailed scientific analysis;...
156,Senior Data Scientist,        HireVue,"South Jordan, UT",,"HireVue’s rich data set combining video, audio, textual data combined with evaluation data is a fantastic playground for a Data Scientist...."
157,Business Analyst,"    DRT Strategies, Inc.","Silver Spring, MD",,Query data against systems and connect tables and data points between systems. Interview key stakeholders and subject matter experts to create use cases and...
158,Python / Machine Learning Engineer,        Adobe,"San Jose, CA",,"Experience with big data techniques (such as Hadoop, MapReduce, Spark). Familiarity working with large-scale data-sets and big data techniques would be a plus...."
159,Associate/Scientist,        Exponent,"Menlo Park, CA 94025",,"Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve..."
160,Technical Data Analyst,    Sharp Action LLC,"Somerville, MA","$60,000 - $85,000 a year",Put data models (from data scientist) into production. Automate data scrubbing for machine learning model input....
161,Machine Learning Engineer,        Twitter,"San Francisco, CA 94103 (South Of Market area)",,"Common data structures and algorithms. You’re an relevance engineer, applied data scientist or machine-learning engineer who wants to work on exciting..."
162,Data Scientist,    indify,"New York, NY","$90,000 - $170,000 a year","You'll have your hands in all parts of indify's data pipeline including building out the algorithms driving the heart of indify, constructing data pipelines to..."
163,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
164,Data Scientist,        Novetta,"Crystal City, VA",,
165,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
166,Data Scientist,    xometry,"Durham, NC",,
167,Machine Learning Analyst / Data Scientist,        CACI,"Herndon, VA 20171",,"Demonstrated on the job experience integrating and analyzing large data sets using big data technologies such as GOTS, COTS, Hive, Pig, Twister, Tableau, Visual..."
168,Data Scientist,"    Epitec, Inc.","Dearborn, MI","$93,600 - $104,000 a year",The Visual Data Scientist & Data analyst positions discover and curate new and existing data sources to create solutions for the business....
169,Senior Data Scientist,    Socure,"New York, NY",,"Develop machine learning models to apply test data algorithms to future data. Analyze large data sets to develop multiple, custom models and algorithms to drive..."
170,Machine Learning Engineer,    Fathom Health,"San Francisco, CA",,"Work with a range of structured and unstructured data sources. Managing large-scale crowd-sourcing data labelling and acquisition (Amazon Turk, Crowdflower, etc..."
171,Research Scientist (Machine Learning),        NVIDIA,"Westford, MA 01886",,We are now looking for a Research Scientist (Machine Learning). NVIDIA is searching for a world-class researcher in machine learning to join our research team....
172,Professional-Data Analysis,        AT&T,United States,,"Supports data selection, extraction, and cleansing for corporate applications, including data warehouse and data marts. Data Analytics nano-degree;..."
173,Principal Data Scientist,        Capital One,"McLean, VA",,"Principal Data Scientist. Writing software to clean and investigate large, messy data sets of numerical and textual data...."
174,Internship - Data and Analysis,        Garnet Hill,"Exeter, NH",$12 an hour,Internship - Data and Analysis - 0815567 Business Unit Summary Be a part of this dynamic team that supports all aspects of our business and is integral in...
175,Machine Learning Infrastructure Engineer,    Schrodinger,"New York, NY",,Ability to prototype and scale pipelines for ingesting data and training models. The ideal candidate is a computational scientist experienced in the analysis of...
176,Data Scientist,    ZP Group,"Raleigh, NC 27607 (Northwest area)","$90,000 - $120,000 a year","The Data Scientist will be in charge of data management, data organization, data modeling, and data analytics...."
177,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
178,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
179,Data Scientist,        Novetta,"Crystal City, VA",,
180,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
181,Data Scientist,    xometry,"Durham, NC",,
182,Machine Learning Engineer,        Verizon,"Township of Warren, NJ 07059",,"Bachelor’s degree in a field such as Computer Science, Computer Engineering, Statistics, Economics, Mathematics, Physics Experience in at least one major AI/NLP..."
183,Machine Learning Engineer,    Diffbot,"Mountain View, CA",,"About Us At Diffbot, we believe that access to structured information will be the critical resource for the coming wave of intelligent applications—for"
184,Senior Data Scientist,    Socure,"New York, NY",,"Develop machine learning models to apply test data algorithms to future data. Analyze large data sets to develop multiple, custom models and algorithms to drive..."
185,Data Scientist,    Flexton inc,"Santa Clara, CA",$50 an hour,") for Data Scientist position in Santa Clara, CA. Data visualisation tools, such as D3.js, GGplot:. Data science toolkits, such as R, Weka, NumPy, MatLab:...."
186,Machine Learning Infrastructure Engineer,    Schrodinger,"New York, NY",,Ability to prototype and scale pipelines for ingesting data and training models. The ideal candidate is a computational scientist experienced in the analysis of...
187,Data Analysis Specialist/Medical Records Tech,        Telecare Corporation,"San Diego, CA",," Verifies accuracy of data. Data Analysis Specialist/Medical Records is responsible for the maintenance, storage and processing of all medical records and EHR..."
188,"Statistician/Data Scientist - Junior, Mid & Senior",        OGSystems,"Springfield, VA",,Uses data mining for structured and unstructured information to join and explore relationships in disparate data sets.Applies advanced analytics capabilities to...
189,Healthcare Statistical Analyst,        Strategic Management,"Alexandria, VA 22315",,"Extracting data and database management, developing data queries, importing/exporting data into various formats...."
190,Data Scientist Intern,        HP,"Houston, TX",,"Preferably Java, Python and SQL Experience in data extraction, data cleansing and preparation, text analytics, data mining...."
191,Machine Learning Research Scientist - 2004504,    Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,"Engineering efficient data intake, processing, and reporting streams for a variety of intelligence-related data...."
192,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
193,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
194,Data Scientist,        Novetta,"Crystal City, VA",,
195,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
196,Data Scientist,    xometry,"Durham, NC",,
197,Research Analyst,        University of Maryland,"College Park, MD",,Data management and analyses; And maintaining connections and communication with other campus offices and programs for survey distribution and data collection....
198,Healthcare Statistical Analyst,        Strategic Management,"Alexandria, VA 22315",,"Extracting data and database management, developing data queries, importing/exporting data into various formats...."
199,Sr Data Scientist,    QuintilesIMS,"Plymouth Meeting, PA",,The AI/ML Data Scientist will play an integral role in the Digital Office. Advanced proficiency with at least one statistical computing language for data...
200,Principal Data Scientist,        Honeywell,"Morris Plains, NJ 07950",,"Principal Data Scientist 00350903. Provide data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs...."
201,"Research Scientist, Machine Learning & Signal Processing",    Oculus VR,"Redmond, WA",,"4+ years experience manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources...."
202,"Statistician/Data Scientist - Junior, Mid & Senior",        OGSystems,"Springfield, VA",,Uses data mining for structured and unstructured information to join and explore relationships in disparate data sets.Applies advanced analytics capabilities to...
203,Senior Data Scientist,    Metromile,"Boston, MA",,"Level data scientists who enjoy learning new methodologies at our weekly data science seminar, participating in Kaggle competitions, and publishing papers at..."
204,Machine Learning Engineer,    Diffbot,"Mountain View, CA",,"About Us At Diffbot, we believe that access to structured information will be the critical resource for the coming wave of intelligent applications—for"
205,Data Scientist,    Flexton inc,"Santa Clara, CA",$50 an hour,") for Data Scientist position in Santa Clara, CA. Data visualisation tools, such as D3.js, GGplot:. Data science toolkits, such as R, Weka, NumPy, MatLab:...."
206,Research Data Programmer III,        UC DAVIS HEALTH SYSTEM,"Davis, CA",,-Skills and experience to maintain data codebooks preferred. -Demonstrated skills and experience documenting data management activities required....
207,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
